Identifier,Ct,Gene,Efficiancy ,Ben_abs,Ben_rel
509,40,LWS3,0.9616775,0.7856,0.9142
523,32.55,LWS3,0.9616775,0.7856,0.9142
523,32.74,LWS3,0.9616775,0.7856,0.9142
524,32.63,LWS3,0.9616775,0.7856,0.9142
524,31.95,LWS3,0.9616775,0.7856,0.9142
526,30.84,LWS3,0.9616775,0.7856,0.9142
526,30.79,LWS3,0.9616775,0.7856,0.9142
527,27.67,LWS3,0.9616775,0.7856,0.9142
527,27.79,LWS3,0.9616775,0.7856,0.9142
528,25.58,LWS3,0.9616775,0.7856,0.9142
528,25.49,LWS3,0.9616775,0.7856,0.9142
529,25.59,LWS3,0.9616775,0.7856,0.9142
529,25.71,LWS3,0.9616775,0.7856,0.9142
530,28.73,LWS3,0.9616775,0.7856,0.9142
530,28.24,LWS3,0.9616775,0.7856,0.9142
590,40,LWS3,0.9616775,0.7856,0.9142
590,40,LWS3,0.9616775,0.7856,0.9142
591,40,LWS3,0.9616775,0.7856,0.9142
591,40,LWS3,0.9616775,0.7856,0.9142
592,31.39,LWS3,0.9616775,0.7856,0.9142
592,30.52,LWS3,0.9616775,0.7856,0.9142
593,40,LWS3,0.9616775,0.7856,0.9142
593,36.07,LWS3,0.9616775,0.7856,0.9142
594,40,LWS3,0.9616775,0.7856,0.9142
594,40,LWS3,0.9616775,0.7856,0.9142
595,40,LWS3,0.9616775,0.7856,0.9142
595,40,LWS3,0.9616775,0.7856,0.9142
596,36.07,LWS3,0.9616775,0.7856,0.9142
596,35.93,LWS3,0.9616775,0.7856,0.9142
200,37.4,LWSr,0.8316551,0.7856,0.9154
200,37.7,LWSr,0.8316551,0.7856,0.9154
201,35.48,LWSr,0.8316551,0.7856,0.9154
201,40,LWSr,0.8316551,0.7856,0.9154
201,40,LWSr,0.8316551,0.7856,0.9154
201,40,LWSr,0.8316551,0.7856,0.9154
202,40,LWSr,0.8316551,0.7856,0.9154
202,36.63,LWSr,0.8316551,0.7856,0.9154
202,36.61,LWSr,0.8316551,0.7856,0.9154
203,40,LWSr,0.8316551,0.7856,0.9154
203,40,LWSr,0.8316551,0.7856,0.9154
204,34.74,LWSr,0.8316551,0.7856,0.9154
204,35.02,LWSr,0.8316551,0.7856,0.9154
205,40,LWSr,0.8316551,0.7856,0.9154
205,34.84,LWSr,0.8316551,0.7856,0.9154
205,35.17,LWSr,0.8316551,0.7856,0.9154
206,35.85,LWSr,0.8316551,0.7856,0.9154
206,35.77,LWSr,0.8316551,0.7856,0.9154
242,40,LWSr,0.8316551,0.7856,0.9154
242,40,LWSr,0.8316551,0.7856,0.9154
244,35.23,LWSr,0.8316551,0.7856,0.9154
244,40,LWSr,0.8316551,0.7856,0.9154
244,37.82,LWSr,0.8316551,0.7856,0.9154
245,35.73,LWSr,0.8316551,0.7856,0.9154
245,40,LWSr,0.8316551,0.7856,0.9154
246,40,LWSr,0.8316551,0.7856,0.9154
246,40,LWSr,0.8316551,0.7856,0.9154
247,36.3,LWSr,0.8316551,0.7856,0.9154
247,38.27,LWSr,0.8316551,0.7856,0.9154
247,35.54,LWSr,0.8316551,0.7856,0.9154
248,40,LWSr,0.8316551,0.7856,0.9154
248,35.01,LWSr,0.8316551,0.7856,0.9154
248,40,LWSr,0.8316551,0.7856,0.9154
249,40,LWSr,0.8316551,0.7856,0.9154
249,40,LWSr,0.8316551,0.7856,0.9154
260,40,LWSr,0.8316551,0.7856,0.9154
260,40,LWSr,0.8316551,0.7856,0.9154
261,40,LWSr,0.8316551,0.7856,0.9154
261,40,LWSr,0.8316551,0.7856,0.9154
262,40,LWSr,0.8316551,0.7856,0.9154
262,40,LWSr,0.8316551,0.7856,0.9154
264,36.33,LWSr,0.8316551,0.7856,0.9154
264,38.34,LWSr,0.8316551,0.7856,0.9154
264,40,LWSr,0.8316551,0.7856,0.9154
265,40,LWSr,0.8316551,0.7856,0.9154
