Fieldsite.ID	Drainage	lambda	H2S	median_sensitivity
MT14-11	Pichucalco	558	0	0.024579334835329182
MT14-11	Pichucalco	559	0	0.023743832433072758
MT14-11	Pichucalco	560	0	0.022927211876911553
MT14-11	Pichucalco	561	0	0.022129450706186375
MT14-11	Pichucalco	562	0	0.02135049173831978
MT14-11	Pichucalco	563	0	0.020590245733772893
MT14-11	Pichucalco	564	0	0.01984859421271074
MT14-11	Pichucalco	565	0	0.01912539236600678
MT14-11	Pichucalco	566	0	0.018420472005805773
MT14-11	Pichucalco	567	0	0.017733644504811054
MT14-11	Pichucalco	568	0	0.017064703678428286
MT14-11	Pichucalco	569	0	0.016413428569556132
MT14-11	Pichucalco	570	0	0.015779586101844142
MT14-11	Pichucalco	571	0	0.015162933573361041
MT14-11	Pichucalco	572	0	0.014563220968599438
MT14-11	Pichucalco	573	0	0.013980193072389449
MT14-11	Pichucalco	574	0	0.013413591374480045
MT14-11	Pichucalco	575	0	0.012863155758174462
MT14-11	Pichucalco	576	0	0.012328625970445147
MT14-11	Pichucalco	577	0	0.01180974287439421
MT14-11	Pichucalco	578	0	0.01130624948780218
MT14-11	Pichucalco	579	0	0.010817891813872877
MT14-11	Pichucalco	580	0	0.010344419472202717
MT14-11	Pichucalco	581	0	0.009885586139557341
MT14-11	Pichucalco	582	0	0.009441149811305064
MT14-11	Pichucalco	583	0	0.00901087289540609
MT14-11	Pichucalco	584	0	0.008594522151757596
MT14-11	Pichucalco	585	0	0.008191868490496183
MT14-11	Pichucalco	586	0	0.007802686643600462
MT14-11	Pichucalco	587	0	0.007426754724839349
MT14-11	Pichucalco	588	0	0.007063853693782493
MT14-11	Pichucalco	589	0	0.006713766740220289
MT14-11	Pichucalco	590	0	0.006376278605909157
MT14-11	Pichucalco	591	0	0.006051174861033747
MT14-11	Pichucalco	592	0	0.005738241153120518
MT14-11	Pichucalco	593	0	0.005437262446301938
MT14-11	Pichucalco	594	0	0.0051480222687764
MT14-11	Pichucalco	595	0	0.004870301985991387
MT14-11	Pichucalco	596	0	0.004603880116465077
MT14-11	Pichucalco	597	0	0.004348531706227915
MT14-11	Pichucalco	598	0	0.004104027776601843
MT14-11	Pichucalco	599	0	0.0038701348584406726
MT14-11	Pichucalco	600	0	0.003646614624052309
MT14-11	Pichucalco	601	0	0.0034332236258433463
MT14-11	Pichucalco	602	0	0.003229713148319891
MT14-11	Pichucalco	603	0	0.003035829177505537
MT14-11	Pichucalco	604	0	0.0028513124891707906
MT14-11	Pichucalco	605	0	0.002675898854585353
MT14-11	Pichucalco	606	0	0.0025093193598870684
MT14-11	Pichucalco	607	0	0.002351300832688553
MT14-11	Pichucalco	608	0	0.0022015663672894656
MT14-11	Pichucalco	609	0	0.002059835937894228
MT14-11	Pichucalco	610	0	0.0019258270876057475
MT14-11	Pichucalco	611	0	0.0017992556797152394
MT14-11	Pichucalco	612	0	0.001679836696959776
MT14-11	Pichucalco	613	0	0.001567285073980983
MT14-11	Pichucalco	614	0	0.0014613165481818459
MT14-11	Pichucalco	615	0	0.0013616485145220695
MT14-11	Pichucalco	616	0	0.0012680008704795832
MT14-11	Pichucalco	617	0	0.0011800968383923092
MT14-11	Pichucalco	618	0	0.0010976637536274216
MT14-11	Pichucalco	619	0	0.001020433808447182
MT14-11	Pichucalco	620	0	9.481447429936414e-4
MT14-11	Pichucalco	621	0	8.805404764406371e-4
MT14-11	Pichucalco	622	0	8.173716730063287e-4
MT14-11	Pichucalco	623	0	7.583962391349314e-4
MT14-11	Pichucalco	624	0	7.033797496985749e-4
MT14-11	Pichucalco	625	0	6.520958025056595e-4
MT14-11	Pichucalco	626	0	6.043263017028687e-4
MT14-11	Pichucalco	627	0	5.598616718052006e-4
MT14-11	Pichucalco	628	0	5.185010050705025e-4
MT14-11	Pichucalco	629	0	4.8005214574691e-4
MT14-11	Pichucalco	630	0	4.443317153649145e-4
MT14-11	Pichucalco	631	0	4.1116508372630384e-4
MT14-11	Pichucalco	632	0	3.803862905707147e-4
MT14-11	Pichucalco	633	0	3.5183792308983425e-4
MT14-11	Pichucalco	634	0	3.253709545249516e-4
MT14-11	Pichucalco	635	0	3.008445490419176e-4
MT14-11	Pichucalco	636	0	2.781258379456561e-4
MT14-11	Pichucalco	637	0	2.570896720904246e-4
MT14-11	Pichucalco	638	0	2.3761835507848928e-4
MT14-11	Pichucalco	639	0	2.1960136153294514e-4
MT14-11	Pichucalco	640	0	2.0293504439391916e-4
MT14-11	Pichucalco	641	0	1.875223348328946e-4
MT14-11	Pichucalco	642	0	1.7327243801778996e-4
MT14-11	Pichucalco	643	0	1.6010052760021906e-4
MT14-11	Pichucalco	644	0	1.4792744144321204e-4
MT14-11	Pichucalco	645	0	1.3667938076809453e-4
MT14-11	Pichucalco	646	0	1.262876145775337e-4
MT14-11	Pichucalco	647	0	1.1668819091102532e-4
MT14-11	Pichucalco	648	0	1.0782165621128396e-4
MT14-11	Pichucalco	649	0	9.963278382638227e-5
MT14-11	Pichucalco	650	0	9.207031244332313e-5
MT14-11	Pichucalco	651	0	8.508669504391213e-5
MT14-11	Pichucalco	652	0	7.863785879263869e-5
MT14-11	Pichucalco	653	0	7.268297610768878e-5
