Gene	Identifier	Efficiency	meanCT	CT_stdev	expression	total_cone	percent_cone	Sample.ID	Fieldsite.ID	Locality	Drainage	H2S	Species	Sex
LWS2	476	0.7751	40	0	1.0742046799842e-10	3.2695873643696243e-6	3.285444186903708e-5	MX14-476	MT14-26	Arroyo Bonita	Tacotalpa	0	Poecilia mexicana	0
LWS2	477	0.7751	40	0	1.0742046799842e-10	3.849455069925838e-6	2.790536999318439e-5	MX14-477	MT14-26	Arroyo Bonita	Tacotalpa	0	Poecilia mexicana	0
LWS2	478	0.7751	40	0	1.0742046799842e-10	5.84453965372498e-6	1.8379628570054487e-5	MX14-478	MT14-26	Arroyo Bonita	Tacotalpa	0	Poecilia mexicana	0
LWS2	479	0.7751	40	0	1.0742046799842e-10	1.532692484286877e-6	7.008611910066227e-5	MX14-479	MT14-26	Arroyo Bonita	Tacotalpa	0	Poecilia mexicana	0
LWS2	502	0.7751	40	0	1.0742046799842e-10	5.605174324234682e-8	0.0019164518672322819	MX14-502	MT14-27	La Lluvia spring	Puyacatengo	1	Poecilia mexicana	0
LWS2	503	0.7751	39.10666666666667	1.547298721428197	1.793602069030872e-10	2.1760057653154773e-7	8.242634728363578e-4	MX14-503	MT14-27	La Lluvia spring	Puyacatengo	1	Poecilia mexicana	0
LWS2	505	0.7751	40	0	1.0742046799842e-10	3.057006731240835e-7	3.513910090568174e-4	MX14-505	MT14-27	La Lluvia spring	Puyacatengo	1	Poecilia mexicana	0
LWS2	506	0.7751	33.84	0.1697056274847728	3.6838304718175175e-9	1.934921601626224e-6	0.0019038654944579696	MX14-506	MT14-27	La Lluvia spring	Puyacatengo	1	Poecilia mexicana	0
LWS2	507	0.7751	35.825	0.8555992052357231	1.179213195454635e-9	3.2472749405884007e-6	3.631393143572141e-4	MX14-507	MT14-27	La Lluvia spring	Puyacatengo	1	Poecilia mexicana	0
LWS2	508	0.7751	34.18	0.21213203435596223	3.0308460401773495e-9	2.168449200986523e-6	0.0013977021176232692	MX14-508	MT14-27	La Lluvia spring	Puyacatengo	1	Poecilia mexicana	0
LWS2	509	0.7751	38.82666666666667	2.0322729475474843	2.1062430586601014e-10	6.209554765064972e-7	3.391938936604359e-4	MX14-509	MT14-27	La Lluvia spring	Puyacatengo	1	Poecilia mexicana	0
LWS2	523	0.7751	40	0	1.0742046799842e-10	3.268473210872132e-7	3.2865641254485557e-4	MX14-523	MT14-28	Rio Puyacatengo at Vicente Guerrero	Puyacatengo	0	Poecilia mexicana	0
LWS2	524	0.7751	39.13	1.506884202584923	1.7697458272426219e-10	3.4700547666947656e-7	5.100051573330955e-4	MX14-524	MT14-28	Rio Puyacatengo at Vicente Guerrero	Puyacatengo	0	Poecilia mexicana	0
LWS2	526	0.7751	40	0	1.0742046799842e-10	7.414752401475973e-7	1.4487397849864412e-4	MX14-526	MT14-28	Rio Puyacatengo at Vicente Guerrero	Puyacatengo	0	Poecilia mexicana	0
