site.name	sample.location	light	n.measures	nls.converged	lambda	transmission_ss	transmission
Ban	1	s	2	NA	586	0	2.61044917825344e-5
Ban	1	s	2	NA	587	3.0814879110195774e-33	7.306092652104615e-5
Ban	1	s	2	NA	588	0	8.341122183406467e-5
Ban	1	s	2	NA	589	0	3.7100907801184024e-5
Ban	1	s	2	NA	590	3.0814879110195774e-33	5.4357036352917565e-5
Ban	1	s	2	NA	591	0	7.773681254954207e-5
Ban	1	s	2	NA	592	0	8.207015058869773e-5
Ban	1	s	2	NA	593	0	2.3901905983041796e-5
Ban	1	s	2	NA	594	3.0814879110195774e-33	4.060109227581057e-5
Ban	1	s	2	NA	595	0	3.978789958984675e-5
Ban	1	s	2	NA	596	3.0814879110195774e-33	3.602567113654706e-5
Ban	1	s	2	NA	597	3.0814879110195774e-33	4.4760059577845246e-5
Ban	1	s	2	NA	598	0	3.6066860973260754e-5
Ban	1	s	2	NA	599	0	5.707446158008515e-5
Ban	1	s	2	NA	600	0	3.6562381528053e-5
Ban	1	s	2	NA	601	3.0814879110195774e-33	2.925637083174088e-5
Ban	1	s	2	NA	602	0	4.001655452491045e-5
Ban	1	s	2	NA	603	0	4.9585588319832914e-5
Ban	1	s	2	NA	604	0	5.8287843466227255e-5
Ban	1	s	2	NA	605	0	7.43734543588227e-5
Ban	1	s	2	NA	606	0	6.302544354482893e-5
Ban	1	s	2	NA	607	3.0814879110195774e-33	6.339929731043528e-5
Ban	1	s	2	NA	608	0	6.61816059706059e-5
Ban	1	s	2	NA	609	3.0814879110195774e-33	1.1868421715444752e-4
Ban	1	s	2	NA	610	0	1.1151519103892869e-4
Ban	1	s	2	NA	611	0	8.355816069871702e-5
Ban	1	s	2	NA	612	0	7.769384333598543e-5
Ban	1	s	2	NA	613	3.0814879110195774e-33	7.392393914979763e-5
Ban	1	s	2	NA	614	0	7.758700022598092e-5
Ban	1	s	2	NA	615	0	8.913523192955708e-5
Ban	1	s	2	NA	616	3.0814879110195774e-33	5.939787909549367e-5
Ban	1	s	2	NA	617	0	7.204088667748554e-5
Ban	1	s	2	NA	618	0	6.56668283510756e-5
Ban	1	s	2	NA	619	0	5.601058641585203e-5
Ban	1	s	2	NA	620	0	6.21308649695591e-5
Ban	1	s	2	NA	621	3.0814879110195774e-33	7.036683573114525e-5
Ban	1	s	2	NA	622	0	6.65270117482459e-5
Ban	1	s	2	NA	623	0	4.040123474435841e-5
Ban	1	s	2	NA	624	0	4.54710843301545e-5
Ban	1	s	2	NA	625	0	6.0827133506415665e-5
Ban	1	s	2	NA	626	0	5.084771054949375e-5
Ban	1	s	2	NA	627	0	4.624336293501618e-5
Ban	1	s	2	NA	628	0	3.079894683208928e-5
Ban	1	s	2	NA	629	0	6.392118866303327e-6
Ban	1	s	2	NA	630	0	1.6928378277300015e-5
Ban	1	s	2	NA	631	0	5.130644183839561e-5
Ban	1	s	2	NA	632	0	5.765020692007107e-5
Ban	1	s	2	NA	633	0	4.036273168191941e-5
Ban	1	s	2	NA	634	0	5.3313020570635774e-5
Ban	1	s	2	NA	635	0	5.928753672966317e-5
Ban	1	s	2	NA	636	0	4.55415936721227e-5
Ban	1	s	2	NA	637	0	1.9837901601411927e-5
Ban	1	s	2	NA	638	0	3.353291004637069e-5
Ban	1	s	2	NA	639	0	5.6175810081998345e-5
Ban	1	s	2	NA	640	0	3.4569845247992164e-5
Ban	1	s	2	NA	641	0	5.0754820898498485e-5
Ban	1	s	2	NA	642	0	2.3660509826949487e-5
Ban	1	s	2	NA	643	0	3.0152781076660746e-5
Ban	1	s	2	NA	644	0	7.857071534950943e-5
Ban	1	s	2	NA	645	0	6.268003283843887e-5
Ban	1	s	2	NA	646	0	2.4849667030258436e-5
Ban	1	s	2	NA	647	0	2.01090931117515e-5
Ban	1	s	2	NA	648	0	4.495031212156657e-5
Ban	1	s	2	NA	649	0	5.3530809570090975e-5
Ban	1	s	2	NA	650	0	3.060228512690718e-5
Ban	1	s	2	NA	651	0	-1.0812071032983683e-5
Ban	1	s	2	NA	652	0	5.190626175642793e-5
Ban	1	s	2	NA	653	0	6.90244758864754e-5
Ban	1	s	2	NA	654	0	1.505941597813282e-5
Ban	1	s	2	NA	655	0	3.6359425164882036e-05
Ban	1	s	2	NA	656	0	6.935691755223184e-5
Ban	1	s	2	NA	657	0	6.091860877715138e-5
Ban	1	s	2	NA	658	0	2.9703983626823347e-5
Ban	1	s	2	NA	659	0	2.2989625191263667e-5
Ban	1	s	2	NA	660	1.232595164407831e-32	5.7917472975328365e-5
Ban	1	s	2	NA	661	0	6.900907540216687e-5
Ban	1	s	2	NA	662	0	7.767924736787719e-5
Ban	1	s	2	NA	663	1.232595164407831e-32	6.261233811914233e-5
Ban	1	s	2	NA	664	1.232595164407831e-32	5.266144148957969e-5
Ban	1	s	2	NA	665	0	6.897663329518237e-5
Ban	1	s	2	NA	666	0	7.486170796827026e-5
Ban	1	s	2	NA	667	0	6.688039259953513e-5
Ban	1	s	2	NA	668	0	5.780798600261416e-5
Ban	1	s	2	NA	669	0	3.192150060495691e-5
Ban	1	s	2	NA	670	0	2.835862704499794e-5
Ban	1	s	2	NA	671	0	1.1703166901648492e-5
Ban	1	s	2	NA	672	0	2.9813240439364115e-5
Ban	1	s	2	NA	673	0	6.68594281175999e-5
Ban	1	s	2	NA	674	0	4.7986323556726345e-5
Ban	1	s	2	NA	675	0	5.747129776080123e-5
Ban	1	s	2	NA	676	0	4.156846787122708e-5
Ban	1	s	2	NA	677	0	4.89131657823626e-5
Ban	1	s	2	NA	678	0	3.4715504473700066e-5
Ban	1	s	2	NA	679	0	2.8297235270719614e-5
Ban	1	s	2	NA	680	0	4.035989290911846e-5
Ban	1	s	2	NA	681	0	3.7240611358299674e-5
Ban	1	s	2	NA	682	0	2.88440043606073e-5
Ban	1	s	2	NA	683	0	3.0083843509526306e-5
Ban	1	s	2	NA	684	0	1.6024542462600837e-5
Ban	1	s	2	NA	685	0	3.7622874921601815e-5
Ban	1	s	2	NA	686	0	4.28336928238783e-5
Ban	1	s	2	NA	687	0	4.984931650570239e-5
Ban	1	s	2	NA	688	0	5.3480258763767246e-5
Ban	1	s	2	NA	689	0	5.661218223145695e-5
Ban	1	s	2	NA	690	0	2.64476235690655e-5
Ban	1	s	2	NA	691	1.232595164407831e-32	1.4025434277220147e-5
Ban	1	s	2	NA	692	1.232595164407831e-32	7.7761553443222e-5
Ban	1	s	2	NA	693	0	6.874811786524044e-5
Ban	1	s	2	NA	694	1.232595164407831e-32	2.1980509750333954e-5
Ban	1	s	2	NA	695	1.232595164407831e-32	1.7816629940110136e-5
Ban	1	s	2	NA	696	0	2.19223838111316e-5
Ban	1	s	2	NA	697	0	6.731654862211923e-5
Ban	1	s	2	NA	698	0	6.144344570417425e-5
Ban	1	s	2	NA	699	0	6.520491507509802e-6
Ban	1	s	2	NA	700	0	2.560052974987007e-4
Ban	2	s	3	NA	350	2.995616271461508e-6	7.73108651616391e-6
Ban	2	s	3	NA	351	9.999271173939128e-9	5.6651545508949566e-5
Ban	2	s	3	NA	352	4.317574649044594e-8	4.5597884188805476e-5
Ban	2	s	3	NA	353	1.1853303579343227e-8	6.608218735564448e-5
Ban	2	s	3	NA	354	2.4503472801126993e-8	7.109909620735986e-5
Ban	2	s	3	NA	355	1.5083899800297013e-8	6.782149950747011e-5
Ban	2	s	3	NA	356	3.117444751732398e-8	5.9144593286177397e-5
Ban	2	s	3	NA	357	1.9032041671293338e-9	4.6043155520036735e-5
Ban	2	s	3	NA	358	7.977042191970855e-9	5.108788541334982e-5
Ban	2	s	3	NA	359	5.494465053010347e-8	5.424979437346191e-5
Ban	2	s	3	NA	360	2.7440302662891607e-8	5.123664464930366e-5
Ban	2	s	3	NA	361	5.18605565454703e-9	5.016171483966767e-5
Ban	2	s	3	NA	362	1.0968545720390998e-8	4.9695295579437206e-5
Ban	2	s	3	NA	363	2.3181581449780124e-9	5.528824803033423e-5
Ban	2	s	3	NA	364	2.9623744706717404e-9	6.056076551275334e-5
Ban	2	s	3	NA	365	2.9379416631339903e-8	5.4783700005427986e-5
Ban	2	s	3	NA	366	2.592382589839589e-8	5.636129285704361e-5
Ban	2	s	3	NA	367	3.979277120415246e-8	4.231137988328452e-5
Ban	2	s	3	NA	368	1.2014827907724894e-9	3.860680453006942e-5
Ban	2	s	3	NA	369	2.8128824948627082e-9	3.065302666357272e-5
Ban	2	s	3	NA	370	3.699577334719712e-8	1.7589483220904148e-5
Ban	2	s	3	NA	371	2.4440644007281746e-8	3.653637404574219e-5
Ban	2	s	3	NA	372	1.5608841574870845e-8	5.1489675086703005e-5
Ban	2	s	3	NA	373	3.957696201779488e-8	6.146450909469963e-5
Ban	2	s	3	NA	374	2.4813543646010684e-8	6.38258255437335e-5
Ban	2	s	3	NA	375	3.02899262758148e-8	4.925897839189947e-5
Ban	2	s	3	NA	376	4.3563447990890625e-8	5.499964307980864e-5
Ban	2	s	3	NA	377	3.389658818440517e-8	5.7591568466582134e-5
Ban	2	s	3	NA	378	3.1848137593294185e-8	4.2936060035980314e-5
Ban	2	s	3	NA	379	1.6979099707260435e-8	3.745783797215854e-5
Ban	2	s	3	NA	380	7.878414617137765e-10	4.5220105965766466e-5
Ban	2	s	3	NA	381	4.27279771868653e-10	3.6067118664968496e-5
Ban	2	s	3	NA	382	9.201960801683398e-9	4.15759696304284e-5
Ban	2	s	3	NA	383	1.3571370642691228e-8	5.1293370635418005e-5
Ban	2	s	3	NA	384	5.102080700121606e-9	5.165916833003946e-5
Ban	2	s	3	NA	385	1.276743734160575e-9	5.947266764124022e-5
Ban	2	s	3	NA	386	1.2736900951819236e-8	3.860685210447718e-5
Ban	2	s	3	NA	387	4.333191173479963e-8	3.217442789455106e-5
Ban	2	s	3	NA	388	3.285017027778673e-8	5.12757003397423e-5
Ban	2	s	3	NA	389	1.4845517127418886e-8	6.763353479430755e-5
Ban	2	s	3	NA	390	6.423848600077624e-9	4.4110529638296426e-5
Ban	2	s	3	NA	391	6.39191186102776e-10	3.250683878337619e-5
Ban	2	s	3	NA	392	4.562843989878208e-13	3.660351402812454e-5
Ban	2	s	3	NA	393	8.006568381179244e-9	3.644592554401775e-5
Ban	2	s	3	NA	394	1.509881723250973e-8	3.223093353519517e-5
Ban	2	s	3	NA	395	1.851979036164598e-8	2.9036943450325457e-5
Ban	2	s	3	NA	396	2.3086315061108338e-9	3.503974630315644e-5
Ban	2	s	3	NA	397	2.0268876065126627e-10	4.6507440534784155e-5
Ban	2	s	3	NA	398	3.1659284832021765e-9	3.24390956532318e-5
Ban	2	s	3	NA	399	1.9650384300102516e-8	4.460722290244063e-5
Ban	2	s	3	NA	400	1.1451433579614452e-7	6.448155519340868e-5
Ban	2	s	3	NA	401	7.916236873624117e-8	8.939550487280507e-5
Ban	2	s	3	NA	402	2.9958078349960954e-8	1.1099471402243282e-4
Ban	2	s	3	NA	403	5.152422604593442e-9	1.1047889693041042e-4
