watershed,population,individual ,sex,,,,,
Pichucalco,Vet Station,VS-26,Male,,,,,
Pichucalco,Vet Station,VS-27,Male,,,,,
Pichucalco,Vet Station,VS-28,Male,,,,,
Pichucalco,Vet Station,VS-29,Male,,,,,
Pichucalco,Vet Station,VS-30,Male,,,,,
Pichucalco,Vet Station,VS-31,Male,,,,,
Pichucalco,Banos,Ban-03,Female,,,,,
Pichucalco,Banos,Ban-07,Female,,,,,
Pichucalco,Banos,Ban-08,Female,,,,,
Pichucalco,Banos,Ban-11,Female,,,,,
Pichucalco,Banos,Ban-12,Female,,,,,
Pichucalco,Banos,Ban-14,Female,,,,,
Pichucalco,Banos,Ban-15,Female,,,,,
Pichucalco,Banos,Ban-20,Female,,,,,
Pichucalco,Banos,Ban-21,Female,,,,,
Pichucalco,Banos,Ban-25,Female,,,,,
Pichucalco,Banos,Ban-26,Female,,,,,
Pichucalco,Banos,Ban-27,Female,,,,,
Pichucalco,Banos,Ban-28,Female,,,,,
Pichucalco,Banos,Ban-29,Female,,,,,
Pichucalco,Banos,Ban-30,Female,,,,,
Pichucalco,Banos,Ban-01,Male,,,,,
Pichucalco,Banos,Ban-02,Male,,,,,
Pichucalco,Banos,Ban-04,Male,,,,,
Pichucalco,Banos,Ban-05,Male,,,,,
Pichucalco,Banos,Ban-06,Male,,,,,
Pichucalco,Banos,Ban-09,Male,,,,,
Pichucalco,Banos,Ban-10,Male,,,,,
Pichucalco,Banos,Ban-13,Male,,,,,
Pichucalco,Banos,Ban-16,Male,,,,,
Pichucalco,Banos,Ban-17,Male,,,,,
Pichucalco,Banos,Ban-18,Male,,,,,
Pichucalco,Banos,Ban-19,Male,,,,,
Pichucalco,Banos,Ban-22,Male,,,,,
Pichucalco,Banos,Ban-23,Male,,,,,
Pichucalco,Banos,Ban-24,Male,,,,,
